Date,ID,Gender,Age,Income,Context,Impression Cost
2015-02-13 12:38:49,1241549831274554368,Female,25-34,Medium,Social Media,0.000000
2015-02-23 18:01:43,3277614066436484096,Male,45-54,High,Shopping,0.001746
2015-02-01 16:18:37,1791359085039404032,Male,25-34,High,Hobbies,0.000000
2015-02-20 01:03:17,6174773023430423552,Male,45-54,High,Shopping,0.001779
2015-01-15 10:42:12,1823001084557353984,Male,<25,Medium,Blog,0.000990
2015-02-15 20:12:27,211004391345774592,Female,45-54,Medium,News,0.002108
2015-01-26 19:13:43,6019200110292577280,Female,35-44,Medium,News,0.000000
2015-02-03 10:25:44,6349609801685555200,Male,>54,Low,Blog,0.002028
2015-02-05 14:56:15,6701075904096485376,Male,35-44,Low,Social Media,0.002232
2015-02-20 13:53:29,885019742512025600,Female,35-44,High,Blog,0.000000
2015-02-21 00:49:16,5832676876724955136,Male,35-44,Low,News,0.001719
2015-02-16 17:24:37,7385881164858886144,Male,>54,Low,News,0.000000
2015-02-01 17:24:54,8674764624534258688,Female,45-54,Medium,Social Media,0.001234
2015-02-25 06:06:15,5401055597307531264,Female,25-34,Medium,Blog,0.000000
2015-02-14 15:33:14,2045895246426952704,Female,25-34,High,News,0.002148
2015-02-27 18:43:55,2998866113078455296,Female,<25,High,Social Media,0.002086
2015-02-04 07:35:22,8770184097638336512,Female,25-34,Medium,Shopping,0.000000
2015-02-18 09:19:55,1173604613334326272,Female,<25,Low,Blog,0.001663
2015-02-26 13:40:21,629494066777728000,Female,35-44,Medium,News,0.001933
2015-02-17 19:57:48,5427602813112807424,Male,25-34,Medium,Blog,0.002019
2015-01-12 18:18:02,4777854217592324096,Male,45-54,High,Shopping,0.000000
2015-02-13 14:32:49,7574288813964898304,Male,45-54,High,Social Media,0.001620
2015-01-11 19:02:25,6518729309109125120,Female,<25,High,News,0.001808
2015-02-13 09:51:46,2314205047822543872,Female,35-44,Medium,Social Media,0.002111
2015-02-26 10:16:38,9111349268838650880,Female,>54,High,Social Media,0.002523
2015-02-10 12:59:16,6484657637141974016,Female,<25,High,Travel,0.001608
2015-01-18 19:39:21,5902242876360909824,Male,35-44,High,Blog,0.001584
2015-01-17 20:23:30,5178004220490370048,Male,>54,High,Travel,0.002412
2015-02-02 12:29:56,4510551086499007488,Male,<25,High,News,0.002850
2015-02-05 08:34:48,1994515701163145216,Female,35-44,High,Blog,0.001082
2015-01-21 21:23:48,6935075433955469312,Female,>54,Low,Shopping,0.000000
2015-02-24 20:16:54,8624589691996340224,Female,35-44,High,Blog,0.000000
2015-02-25 22:00:59,426877201520900096,Female,35-44,High,Social Media,0.001324
2015-02-19 23:42:59,8240497816572513280,Female,35-44,Low,Shopping,0.000000
2015-01-20 19:50:54,5947402525442028544,Female,35-44,Medium,Social Media,0.001896
2015-01-22 15:42:58,1634494223812718592,Female,45-54,High,News,0.000000
2015-02-25 10:35:04,265931927583368192,Female,25-34,High,Blog,0.002507
2015-01-03 20:16:14,3042461405392698368,Male,>54,High,Shopping,0.002345
2015-01-07 00:56:36,1941194433105121280,Male,35-44,High,Social Media,0.001574
2015-02-05 13:38:00,8835211333450043392,Male,<25,Low,Social Media,0.000000
2015-02-18 18:36:04,1202509105103642624,Male,<25,High,Blog,0.000000
2015-02-08 10:53:36,4691168398514752512,Female,45-54,High,Shopping,0.000000
2015-01-29 07:41:30,6708325765273083904,Male,35-44,Medium,Shopping,0.000000
2015-01-22 07:50:57,8845722298027068416,Female,25-34,Medium,Shopping,0.000000
2015-01-07 16:02:03,4801154593518556160,Female,45-54,High,Shopping,0.000000
2015-01-28 18:43:26,511501655285571584,Male,>54,Low,Shopping,0.000000
2015-01-20 16:42:34,1636624178405741568,Female,45-54,High,Shopping,0.000000
2015-02-06 15:38:05,4710186877139378176,Male,>54,Medium,Social Media,0.002159
2015-02-14 09:46:47,8245831826857894912,Female,<25,High,Travel,0.001493
2015-02-26 09:44:55,2478876192789986304,Female,25-34,Low,Shopping,0.000000
